product_id,product_name,category,sub_category,brand,description,tags,price,rating
APD054,Sony WH-1000XM5,Electronics,Headphones,Sony,"Industry-leading noise-cancelling over-ear headphones with 30-hour battery, adaptive sound control, Hi-Res Audio, multipoint connection, and ultra-comfortable design. A must for audiophiles.","headphones,sony,noise cancelling,premium,wireless",26990,4.8
APD055,IKEA KALLAX Shelf Unit,Home & Kitchen,Furniture,IKEA,"Versatile 4×2 shelving unit in white finish, suitable as a room divider, bookshelf, or display unit. Compatible with KALLAX inserts for customised storage.","furniture,IKEA,shelf,storage,modular",7999,4.3
APD056,Nivia Cricket Helmet,Sports,Cricket,Nivia,"Mild-steel grill cricket helmet with high-impact ABS shell, adjustable chinstrap, sweat-absorbent inner padding, and ventilation slots.","cricket,Nivia,helmet,protection,ABS",1820,3.6
APD057,Cello Checkers Chest of Drawers,Home & Kitchen,Storage,Cello,"4-drawer plastic storage chest with smooth-glide drawers, sturdy construction, and neutral colour options. Great for organising clothes, toys, and accessories.","storage,Cello,drawers,plastic,organiser",3499,4.1
APD058,Biba Printed A-Line Kurta,Fashion,Women's Clothing,Biba,"A-line kurta with floral digital print, round neck, and three-quarter sleeves. Made from pure cotton for all-day comfort.","kurta,Biba,A-line,cotton,women",1499,4.2
APD059,SG Batting Gloves RSD Xtreme,Sports,Cricket,SG,"Batting gloves with high-density foam padding, leather palm, flexible gussets, and Velcro wrist strap. Excellent grip and protection.","cricket,SG,gloves,batting,protection",1799,4.3
APD060,Cello Steelox Casserole Set,Home & Kitchen,Cookware,Cello,"Set of 3 insulated stainless-steel casseroles that keep food warm for hours. BPA-free inner lids, sturdy handles, and elegant finish.","cookware,Cello,casserole,insulated,stainless steel",1742,3.9
APD061,R.S. Aggarwal Quantitative Aptitude,Books,Academic,Rupa Publications,"Go-to book for competitive exam preparation covering arithmetic, algebra, geometry, and data interpretation with hundreds of solved examples.","academic,quantitative,competitive exams,aptitude,RS Aggarwal",499,4.8
APD062,Sapiens by Yuval Noah Harari,Books,Non-Fiction,Penguin,"A brief history of humankind covering 70,000 years of human evolution — from cognitive revolution to the scientific revolution. Thought-provoking and accessible.","non-fiction,history,science,humanity,bestseller",499,4.7
APD063,Nivia Cricket Helmet,Sports,Cricket,Nivia,"Mild-steel grill cricket helmet with high-impact ABS shell, adjustable chinstrap, sweat-absorbent inner padding, and ventilation slots.","cricket,Nivia,helmet,protection,ABS",1744,3.6
APD064,Under Armour Project Rock Duffel,Sports,Fitness Equipment,Under Armour,"Large gym duffel bag with laundry compartment, abrasion-resistant base, internal organiser, and adjustable shoulder strap. The Rock approved.","fitness,Under Armour,duffel,gym bag,Project Rock",5837,4.3
APD065,Peter England Chinos,Fashion,Men's Clothing,Peter England,"Comfortable cotton-blend chinos with a slim fit, flat front, and stretch waistband. Available in multiple earthy tones for smart-casual dressing.","chinos,Peter England,slim fit,casual,men",1599,4.1
APD066, Samsung Galaxy A55 5G ,Electronics,Smartphones,Samsung,"Affordable Samsung 5G phone with Super AMOLED display, Exynos 1480, triple cameras, IP67 water resistance, and One UI 6.1. Great value for everyday use.","smartphone,samsung,budget,5G,AMOLED",26999,4.2
APD067,Realme GT 6,Electronics,Smartphones,Realme,"Performance-oriented smartphone packing a Snapdragon 8s Gen 3 processor, 6.78-inch 120 Hz LTPO display, 50 MP Sony sensor, and 5500 mAh battery. Ideal for gaming and multitasking.","smartphone,realme,gaming,performance,5G",30999,4.3
APD068,Xiaomi Pad 6,Electronics,Tablets,Xiaomi,"11-inch 2.8K display, Snapdragon 870, quad speakers with Dolby Atmos, 8840 mAh battery, and 144 Hz refresh rate. Great for media consumption.","tablet,xiaomi,entertainment,Dolby,144Hz",24999,4.4
APD069,boAt Stone 1200,Electronics,Speakers,boAt,"14W portable speaker with RGB LED lights, 9-hour battery, IPX7 water resistance, and TWS pairing for stereo sound. Perfect for small house parties.","speaker,boAt,portable,party,RGB",2999,4.0
APD070,Yonex Voltric 200 Taufik,Sports,Badminton,Yonex,"Power-oriented racquet with Tri-Voltage System, isometric head shape, and head-heavy balance. Named after badminton legend Taufik Hidayat.","badminton,Yonex,Voltric,power,head heavy",5065,4.2
APD071,Samsung Galaxy Tab A9+,Electronics,Tablets,Samsung,,"tablet,samsung,budget,android,quad speakers",21833,4.2
APD072,Allen Solly Regular Fit Shirt,Fashion,Men's Clothing,Allen Solly,"Crisp cotton formal shirt with a regular fit, button-down collar, single chest pocket, and wrinkle-resistant finish. Ideal for office wear.","shirt,Allen Solly,formal,cotton,men",1299,4.2
APD073,Watchmen by Alan Moore,Books,Comics,Penguin,Groundbreaking graphic novel deconstructing the superhero genre. Set in an alternate 1985 where costumed vigilantes are outlawed. Time magazine's top 100 novels.,"comics,graphic novel,Alan Moore,superhero,classic",999,4.1
APD074,Wildcraft Laptop Sleeve 14 inch,Fashion,Accessories,Wildcraft,"Neoprene laptop sleeve with padded interior, zippered closure, and slim profile. Fits 14-inch laptops snugly.","sleeve,Wildcraft,laptop,neoprene,14 inch",899,4.0
APD075,An Era of Darkness by Shashi Tharoor,Books,Non-Fiction,Penguin,"A scathing examination of British colonialism in India, unpacking how imperial rule impoverished and destabilised the subcontinent.","non-fiction,history,colonialism,Tharoor,India",414,3.7
APD076,Puma Yoga Leggings Women,Sports,Yoga,Puma,"High-waist yoga leggings with four-way stretch, moisture-wicking DryCELL tech, flatlock seams, and hidden waistband pocket.","yoga,Puma,leggings,women,DryCELL",2086,4.5
APD077,Adidas Samba OG,Fashion,Footwear,Adidas,"Timeless indoor soccer shoe turned fashion icon. Suede T-toe overlay, gum rubber sole, and gold foil branding.","sneakers,adidas,Samba,retro,suede",10898,4.4
APD078,Samsung Galaxy Watch 6,Electronics,Smartwatches,Samsung,,"smartwatch,samsung,WearOS,health,sleep",26999,4.4
APD079,Puma Yoga Leggings Women,Sports,Yoga,Puma,,"yoga,Puma,leggings,women,DryCELL",2080,4.6
APD080,The 7 Habits of Highly Effective People,Books,Self-Help,HarperCollins,"Stephen Covey's seminal work on personal effectiveness, covering paradigm shifts, proactive habits, and principle-centred living.","self-help,habits,Covey,leadership,effectiveness",450,4.4
APD081,Realme Buds Air 5 Pro,Electronics,Headphones,Realme,"Premium TWS earbuds with 50 dB ANC, Hi-Res Audio, LDAC codec, 40-hour battery, and spatial audio support.","earbuds,realme,ANC,LDAC,Hi-Res",3878,4.0
APD082,Milton Stainless Steel Container Set,Home & Kitchen,Storage,Milton,"Set of 5 leak-proof stainless-steel containers with airtight lids, stackable design, and food-grade material. Perfect for storing spices, dal, and dry snacks.","storage,Milton,container,stainless steel,kitchen",999,4.3
APD083,Nike Dunk Low Retro,Fashion,Footwear,Nike,"Iconic basketball-turned-streetwear sneaker with leather upper, foam midsole, pivot-point traction pattern, and classic colour blocking.","sneakers,Nike,Dunk Low,retro,streetwear",9834,4.6
APD084,Train to Pakistan by Khushwant Singh,Books,Fiction,Penguin,Gripping partition-era novel set in a fictional village on the India–Pakistan border. A masterpiece of humanist fiction.,"fiction,partition,Indian,classic,Khushwant Singh",257,4.3
APD085,1984 by George Orwell,Books,Fiction,Penguin,"Dystopian masterpiece exploring totalitarianism, surveillance, and thought control. As relevant today as when it was first published in 1949.","fiction,dystopian,Orwell,classic,political",350,4.6
APD086,IKEA SAMLA Box with Lid 22L,Home & Kitchen,Storage,IKEA,"Transparent 22-litre storage box with snap-on lid, stackable, made from recycled plastic. Ideal for under-bed storage and seasonal wardrobe.","storage,IKEA,box,transparent,stackable",399,4.0
APD087,Nilkamal Freedom Wardrobe,Home & Kitchen,Furniture,Nilkamal,"Plastic two-door wardrobe with hanging space, shelves, mirror, and lock facility. Weather-proof and termite-proof — ideal for humid climates.","furniture,Nilkamal,wardrobe,plastic,weatherproof",12999,4.0
APD088,Pigeon Handy Chopper XL,Home & Kitchen,Appliances,Pigeon,"Manual pull-string chopper with 900 ml bowl, three stainless-steel blades, anti-skid base, and easy disassembly for cleaning. Chops onions and veggies in seconds.","appliance,Pigeon,chopper,manual,kitchen",399,4.0
APD089,India After Gandhi,Books,Non-Fiction,HarperCollins,"Ramachandra Guha's definitive history of independent India covering democracy, conflicts, development, and diversity. Essential reading for understanding modern India.","non-fiction,history,India,politics,Guha",799,4.5
APD090,Adidas Samba OG,Fashion,Footwear,Adidas,"Timeless indoor soccer shoe turned fashion icon. Suede T-toe overlay, gum rubber sole, and gold foil branding.","sneakers,adidas,Samba,retro,suede",11848,3.7
APD091,FabIndia Chanderi Silk Dupatta,Fashion,Women's Clothing,FabIndia,"Handwoven Chanderi silk dupatta with zari border, subtle checks pattern, and lightweight drape. An elegant accessory for ethnic ensembles.","dupatta,FabIndia,Chanderi,silk,ethnic",1899,4.4
APD092,Under Armour HOVR Phantom 3,Sports,Running,Under Armour,"Premium running shoe with UA HOVR cushioning, Intelliknit upper, reflective details, and connected footwear chip for real-time form coaching.","running,Under Armour,HOVR,premium,smart",12999,4.5
APD093, Wings of Fire by APJ Abdul Kalam ,Books,Non-Fiction,Rupa Publications,"Autobiography of India's Missile Man, tracing his journey from Rameswaram to becoming the nation's president. A must-read for aspiring scientists.","non-fiction,autobiography,Kalam,India,science",299,4.6
APD094,Dell XPS 13 Plus,Electronics,Laptops,Dell,"Ultra-premium ultrabook with 13th Gen Intel Core i7, 13.4-inch OLED touchscreen, 16 GB LPDDR5, edge-to-edge keyboard, and Windows 11 Pro.","laptop,Dell,XPS,ultrabook,OLED",129990,4.6
APD095,Yonex Voltric 200 Taufik,Sports,Badminton,Yonex,"Power-oriented racquet with Tri-Voltage System, isometric head shape, and head-heavy balance. Named after badminton legend Taufik Hidayat.","badminton,Yonex,Voltric,power,head heavy",6891,4.1
APD096,Peter England Polo T-Shirt,Fashion,Men's Clothing,Peter England,"Classic cotton polo with ribbed collar, two-button placket, and embroidered logo. Available in solid colours for everyday casual wear.","polo,Peter England,cotton,casual,men",899,4.0
APD097,Sony HT-S400 Soundbar,Electronics,Speakers,Sony,"2.1-channel soundbar with wireless subwoofer, S-Force PRO front surround, Bluetooth, HDMI ARC, and 330W total output.","soundbar,sony,2.1 channel,wireless sub,surround",17979,4.4
APD098,Sony HT-S400 Soundbar,Electronics,Speakers,Sony,"2.1-channel soundbar with wireless subwoofer, S-Force PRO front surround, Bluetooth, HDMI ARC, and 330W total output.","soundbar,sony,2.1 channel,wireless sub,surround",17059,4.3
APD099,Sony Alpha 6400,Electronics,Cameras,Sony,"24.2 MP APS-C mirrorless camera with real-time Eye AF, 4K video, 425 phase-detection AF points, ISO up to 102400, and a tilting touchscreen for vlogging.","camera,sony,mirrorless,4K,photography",74990,4.6
APD100,Decathlon Yoga Mat 5 mm,Sports,Yoga,Decathlon,"5 mm thick TPE yoga mat with alignment lines, non-slip surface on both sides, eco-friendly material, and carry strap. Suitable for Hatha and Vinyasa.","yoga,Decathlon,mat,TPE,eco-friendly",999,4.2
APD101,Nike Training Mat,Sports,Fitness Equipment,Nike,"6 mm thick exercise mat with textured non-slip surface, closed-cell foam for easy cleaning, and carry strap. Works for HIIT, stretching, and floor exercises.","fitness,Nike,mat,training,non-slip",2995,4.3
APD102,The Immortals of Meluha,Books,Non-Fiction,Westland,Amish Tripathi reimagines Lord Shiva as a tribal chief in this mythological fiction-meets-thriller set in 1900 BCE Meluha.,"fiction,mythology,Shiva,Amish Tripathi,Indian",251,3.6
APD103,JBL PartyBox 110,Electronics,Speakers,JBL,"160W party speaker with dynamic light show, bass boost, 12 hours of battery, IPX4 splash proof, and guitar/mic input.","speaker,JBL,party,160W,lights",24999,4.5
APD104,Allen Solly Sweatshirt,Fashion,Men's Clothing,Allen Solly,"Round-neck fleece sweatshirt with contrast paneling, ribbed cuffs, and relaxed fit. Perfect for winter layering.","sweatshirt,Allen Solly,fleece,winter,men",1775,4.8
APD105,JBL Flip 6,Electronics,Speakers,JBL,"Portable Bluetooth speaker with IP67 waterproof and dustproof rating, 12 hours of playtime, racetrack-shaped driver for powerful bass, and PartyBoost pairing.","speaker,JBL,portable,waterproof,bluetooth",9999,4.5
APD106,Apple iPad Air M2,Electronics,Tablets,Apple,"11-inch Liquid Retina display tablet with M2 chip, Apple Pencil Pro support, 128 GB storage, Wi-Fi 6E, and iPadOS 17. Ideal for digital art and productivity.",,59900,4.7
APD107,Fastrack Stunners Analog,Fashion,Watches,Fastrack,"Bold analog watch with gradient dial, silicone strap, 30 m water resistance, and a youthful design that stands out.","watch,Fastrack,analog,gradient,youth",1816,4.3
APD108,Fastrack Stunners Analog,Fashion,Watches,Fastrack,"Bold analog watch with gradient dial, silicone strap, 30 m water resistance, and a youthful design that stands out.","watch,Fastrack,analog,gradient,youth",2211,4.1
APD109,GoPro HERO12 Black,Electronics,Cameras,GoPro,"Action camera with 5.3K 60 fps video, HyperSmooth 6.0 stabilisation, waterproof to 10 m, HDR photo, and Bluetooth audio support.","camera,GoPro,action,5.3K,waterproof",41725,4.7
APD110,FabIndia Cotton Kurti Set,Fashion,Women's Clothing,FabIndia,,"kurti set,FabIndia,block print,artisan,women",2428,3.8
APD111,Samsung Galaxy Tab A9+,Electronics,Tablets,Samsung,"Affordable Samsung tablet with 11-inch TFT display, Snapdragon 695, quad speakers, expandable storage, and One UI 5.1.","tablet,samsung,budget,android,quad speakers",20170,4.2
APD112,Apple MacBook Pro 14 M3 Pro,Electronics,Laptops,Apple,"Pro-level MacBook with M3 Pro chip, 14.2-inch Liquid Retina XDR display, 18 GB unified memory, 18-hour battery, and ProMotion 120 Hz.","laptop,apple,macbook pro,M3 Pro,professional",174107,4.4
APD113,Decathlon Pull-Up Bar Doorway,Sports,Fitness Equipment,Decathlon,"Adjustable doorway pull-up bar fitting door frames 70–95 cm wide. Foam-padded grips, multi-grip positions, and no drilling required.","fitness,Decathlon,pull-up bar,doorway,upper body",1724,4.5
APD114,Under Armour Charged Assert 10,Sports,Running,Under Armour,"Lightweight neutral running shoe with Charged Cushioning midsole, breathable mesh upper, and solid rubber outsole for daily training.","running,Under Armour,Charged,neutral,daily",7773,3.6
APD115,Milton Thermosteel Flask 1L,Home & Kitchen,Storage,Milton,1-litre vacuum-insulated stainless-steel flask that keeps beverages hot for 24 hours and cold for 48. Leak-proof flip lid and durable body.,"storage,Milton,flask,thermosteel,insulated",984,4.6
APD116,Milton Thermosteel Flask 1L,Home & Kitchen,Storage,Milton,1-litre vacuum-insulated stainless-steel flask that keeps beverages hot for 24 hours and cold for 48. Leak-proof flip lid and durable body.,"storage,Milton,flask,thermosteel,insulated",1181,4.3
APD117,Realme 30W Dart Charge 10000 mAh,Electronics,Power Banks,Realme,"10000 mAh power bank with 30W Dart Charge, dual output, Type-C input/output, and slim aluminium body.","power bank,realme,30W,Dart Charge,compact",1499,4.2
APD118,Yonex Nanoray Light 18i,Sports,Badminton,Yonex,"Lightweight isometric badminton racquet weighing just 77 g, with built-in T-joint, Nanomesh + Carbon Nanotube frame, and head-light balance for fast swings.","badminton,Yonex,racquet,lightweight,Nanoray",2290,4.4
APD119,Sony WF-C700N,Electronics,Headphones,Sony,,"earbuds,sony,ANC,wireless,compact",7490,4.4
APD120,R.S. Aggarwal Quantitative Aptitude,Books,Academic,Rupa Publications,"Go-to book for competitive exam preparation covering arithmetic, algebra, geometry, and data interpretation with hundreds of solved examples.","academic,quantitative,competitive exams,aptitude,RS Aggarwal",575,4.6
